date,open,high,low,close,volume
2023-04-29,29350.16,30264.74818,29082.47,29272.13092705,2052.572933301
2023-04-30,29267.38,30149.36925,29125.21,29268.64,4139.420361137
2023-05-01,29260.73,29367.31,27690.27,28109.33,8076.36574549
2023-05-02,28111.27,28933.38,27935.07,28752.68759681,5696.235099719
2023-05-03,28750.89,29301.54,28166.26,29071.82,8731.378576483
2023-05-04,29068.97,29420.357617,28700,28920.07,5968.461819575
2023-05-05,28921.19,29756.61,28820,29597.0721275,6168.714912602
2023-05-06,29603.12,29912.14,28500,29130.950945,4603.368290582
2023-05-07,29133.78,29389.88,28864.378054356,28967.044015,3534.705178407
2023-05-08,28961.22,29247.39,27669.4,28168.108814,7608.148820849
2023-05-09,28158.93,28514.04,27625.78,27857.340735,3677.237357458
2023-05-10,27853.73,28356.27,26834.655,27700.37,3478.105138055
2023-05-11,27707.21,27909.4290464905,26747.6,27002.81294075,2448.532264352
2023-05-12,27009.58,27125,25869.675215,26796.777185,3513.992061708
2023-05-13,26812.27,27534.5575590955,26701.7165503,26815.36,1573.428645923
2023-05-14,26808.99,27200,26603.85,26935.454,1366.474360939
2023-05-15,26941.97,27652,26750.5,27186.79806,2787.850569708
2023-05-16,27177.89,27532.8442195,26866,27030.00642219,2532.078118082
2023-05-17,27041.09,27796.0985590955,26555,27394.93,2593.96418029
2023-05-18,27394.93,27825.1524185955,26405.7,26819.539505,2844.206927152
2023-05-19,26827.06,27552.7953040955,26633.6,26881.07,1882.833041838
2023-05-20,26878.13,27156,26828.3,27117.312811725,880.580321032
2023-05-21,27113.87,27646.5288740955,26700.451,26774.619741,1451.853633692
2023-05-22,26768.54,27465.3422301955,26556.7,26850.6365,2278.668602238
2023-05-23,26860.66,27740.4085590955,26473,27227.53266917,2144.441511507
2023-05-24,27232.66,27698.5035590955,26184.13,26343.22003543,2815.725829671
2023-05-25,26342.65,26635.9,21160.069720234,26496.2532636,2146.07962107
2023-05-26,26497.15,26955.81,18372.569720234,26743.9463303,1630.91275995
2023-05-27,26739.22,27484.6985590955,19070.2985590955,26885.33,815.919094846
2023-05-28,26890.1,28281.19,18527.672925,28077.68,1965.763586526
2023-05-29,28083.7,28448.97,27536.59,27744.17825055,1900.864487962
2023-05-30,27747.14,28072.384331545,27574.21,27711.1841347,1738.208702547
2023-05-31,27713.27,27858.3247460795,26855,27214.07357625,2174.000319733
2023-06-01,27223.33,27350,26645.16,26831.2,2391.498883009
2023-06-02,26835,27323.4873421,26530.25,27249.54072118,2305.022615001
2023-06-03,27246.7,27354.646,26940,27089.35608,938.130634736
2023-06-04,27092.48,27471.04,26966.56,27138.2369314,1298.69357555
2023-06-05,27133.52,27157.395420605,25439.54,25804.5,3856.785470555
2023-06-06,25793.69,27594.7,25417.21442642,27537.83,3741.786214389
2023-06-07,27522.58,30637.9,22880.636573363,26345.077225,2380.438415943
2023-06-08,27495.33,27495.33,26219.9696791,26511.97655,785.272320001
2023-06-09,26589.7,26761.695208524,26297.97,26482.9,1201.570734492
2023-06-10,26492.95,26546.018,25410.561565,25861.5045987725,989.631864785
2023-06-11,25935,26370.88,25663.927,25940.95,616.002342693
2023-06-12,26066.02,26222.41,25639.69605,26115.72,671.64533886
2023-06-13,26126.27,27293.76,25624.2788,26226.3,584.000928762
2023-06-14,26226.32,26404.71,24793.6512659715,25127.622315,109.936144762
2023-06-15,25123.64613111,25743.36298925,24766.09454278,25576.61617185,3.537174711
2023-06-16,25570.87108352,26467.2238003695,25169.61125,26336.63676,0.920353
2023-06-17,26332.640135,26843.009766531,26170.945695,26513.13658,0.485936494
2023-06-18,26508.83623502,26706.564796,26261.0168995,26332.0411835,0.24419513
2023-06-19,26337.178,27041.6939145,26266.76645,26856.828121305,3.345706467
2023-06-20,26856.028814305,28407.37921955,26647.00056,28315.360969095,3.456880012
